feature_id,zero_reference_anchored,pearson_r_all7,spearman_rho_all7,familywise_maxstat_p_all_features,fixed_feature_loo_r_squared,pearson_r_loaded6,spearman_rho_loaded6,familywise_maxstat_p_loaded6_all_features,fixed_feature_loaded6_loo_r_squared,evidence_scope
remanence_X_q90_level_central_minus_outside,false,0.9973935325000158,1.0,0.0021825396825396826,0.9889673298196541,0.9984941257450702,1.0,0.008333333333333333,0.9924874867741637,single_development_sequence
remanence_X_median_level_heads_minus_supports,false,0.9960483227344734,1.0,0.005753968253968254,0.9836288506602084,0.9961552688128557,1.0,0.10416666666666667,0.9818695084914747,single_development_sequence
MEM_Z_right_support_spatial_std_zero_delta_rms,true,0.9993550065591152,1.0,,,0.9994966385526748,1.0,0.002777777777777778,0.9972486511848151,single_development_sequence
remanence_X_circ_h1_amplitude_central_minus_outside,false,0.9739629919703908,0.9642857142857145,0.2873015873015873,0.8950973422941516,0.9636262033950657,0.942857142857143,0.9833333333333333,0.8240383142837455,single_development_sequence
