cycle_id,stage_count,slope_vs_moment_r,linear_R2,moment_R2,quadratic_R2,moment_incremental_R2,status,moment_beats_quadratic,all_stages_repeatability_eligible
C1,7,0.928620316473139,6.87726962267377e-07,0.86243100744693,0.915519219879681,0.862430319719968,WARN_DRIFT_COMPETES,0,1
C2,6,0.925533774629836,0.000716045389237419,0.856875326912043,0.932322595927047,0.856159281522806,WARN_DRIFT_COMPETES,0,1
C3,3,NaN,NaN,NaN,NaN,NaN,INSUFFICIENT_STAGES,0,0
