cycle_id,stage_id,stage_ordinal,channel,good_from_S0,E1_channel,EDirect_channel,S0_reference_MAD
C1,S0,0,1,1,0,0,13.6353898787406
C1,S0,0,2,1,0,0,17.0854631141118
C1,S0,0,3,1,0,0,15.2441921319027
C1,S0,0,4,1,0,0,13.5865796865462
C1,S0,0,5,1,0,0,13.5864528381412
C1,S0,0,6,1,0,0,16.2817600440684
C1,S0,0,7,1,0,0,10.8544226196454
C1,S0,0,8,1,0,0,13.6197781694903
C1,S0,0,9,1,0,0,19.587062447222
C1,S0,0,10,1,0,0,18.4834232142408
C1,S0,0,11,1,0,0,14.6089877240415
C1,S0,0,12,1,0,0,19.1298260692936
C1,S0,0,13,1,0,0,20.9516486860097
C1,S0,0,14,1,0,0,17.3298109015793
C1,S0,0,15,1,0,0,21.2959925456552
C1,S0,0,16,1,0,0,17.7896653513098
C1,S0,0,17,1,0,0,19.1556226082241
C1,S0,0,18,1,0,0,16.1886168047621
C1,S0,0,19,1,0,0,25.7597627909756
C1,S0,0,20,1,0,0,12.636147190606
C1,S1,1,1,1,-0.00390544610171489,0.314594366518387,13.6353898787406
C1,S1,1,2,1,-0.0577359042456565,0.143193821551239,17.0854631141118
C1,S1,1,3,1,0.107315645413736,0.280574010904231,15.2441921319027
C1,S1,1,4,1,0.36862809479755,0.7177825071292,13.5865796865462
C1,S1,1,5,1,0.137940003770273,0.365714378765923,13.5864528381412
C1,S1,1,6,1,-0.0362324323007158,0.320520004609127,16.2817600440684
C1,S1,1,7,1,0.215872050209421,0.415402443308814,10.8544226196454
C1,S1,1,8,1,-0.0126933393153599,0.141518645526425,13.6197781694903
C1,S1,1,9,1,0.00988079941179373,0.211696526766273,19.587062447222
C1,S1,1,10,1,-0.0331108816277273,0.111087708571997,18.4834232142408
C1,S1,1,11,1,-0.0171137688685989,0.12702352699865,14.6089877240415
C1,S1,1,12,1,-0.161940645988761,0.0469031122186639,19.1298260692936
C1,S1,1,13,1,-0.125268113074213,0.0596002920553137,20.9516486860097
C1,S1,1,14,1,-0.129685182420854,0.0542681199016051,17.3298109015793
C1,S1,1,15,1,-0.0921950841100981,0.0672784057544206,21.2959925456552
C1,S1,1,16,1,0.00699022280846806,0.164237050538858,17.7896653513098
C1,S1,1,17,1,-0.117069391531854,0.0488323179128012,19.1556226082241
C1,S1,1,18,1,0.139885596385169,0.352826029411383,16.1886168047621
C1,S1,1,19,1,-0.147853558759484,0.195667554744274,25.7597627909756
C1,S1,1,20,1,0.105463623906331,0.425371742588756,12.636147190606
C1,S2,2,1,1,0.178569869573024,0.455602443255583,13.6353898787406
C1,S2,2,2,1,-0.081259712857779,0.0756768391219113,17.0854631141118
C1,S2,2,3,1,0.263531392339682,0.387274094305878,15.2441921319027
C1,S2,2,4,1,0.832811013207377,1.31002327640274,13.5865796865462
C1,S2,2,5,1,0.238394796428915,0.475935115015284,13.5864528381412
C1,S2,2,6,1,-0.0896017490099741,0.103720473568167,16.2817600440684
C1,S2,2,7,1,0.474442197997036,0.81473593069736,10.8544226196454
C1,S2,2,8,1,0.0185613591268289,0.0975576949659483,13.6197781694903
C1,S2,2,9,1,0.268999322574456,0.422355686424824,19.587062447222
C1,S2,2,10,1,-0.115379469049546,0.106135681911006,18.4834232142408
C1,S2,2,11,1,0.0213596706907045,0.180093509098359,14.6089877240415
C1,S2,2,12,1,-0.124447937022345,0.113135167675194,19.1298260692936
C1,S2,2,13,1,-0.195116592459497,0.204242595742629,20.9516486860097
C1,S2,2,14,1,-0.0234859817562896,0.137073094046691,17.3298109015793
C1,S2,2,15,1,-0.08867570779376,0.130756747065342,21.2959925456552
C1,S2,2,16,1,0.20495840173795,0.425585445630493,17.7896653513098
C1,S2,2,17,1,-0.144853341247039,0.0494525789055082,19.1556226082241
C1,S2,2,18,1,0.294005670346694,0.560705823042987,16.1886168047621
C1,S2,2,19,1,-0.0897563720939778,0.224146801426529,25.7597627909756
C1,S2,2,20,1,0.227725921607519,0.541459631708081,12.636147190606
C1,S3,3,1,1,-0.0545355464185913,0.402650010827673,13.6353898787406
C1,S3,3,2,1,-0.206497821613825,0.313139036358133,17.0854631141118
C1,S3,3,3,1,0.0823477447577661,0.368995402231847,15.2441921319027
C1,S3,3,4,1,0.16625475001369,0.441921894001991,13.5865796865462
C1,S3,3,5,1,0.0443933519834987,0.22926828251461,13.5864528381412
C1,S3,3,6,1,-0.136131953693671,0.180637475528902,16.2817600440684
C1,S3,3,7,1,0.3276613072797,0.690414976469821,10.8544226196454
C1,S3,3,8,1,0.257911837641527,0.63482350694791,13.6197781694903
C1,S3,3,9,1,0.11488292303761,0.537502419917556,19.587062447222
C1,S3,3,10,1,-0.0366308944445802,0.232509036157377,18.4834232142408
C1,S3,3,11,1,-0.0846300251695048,0.215434694962493,14.6089877240415
C1,S3,3,12,1,-0.29960608266614,0.119382593413931,19.1298260692936
C1,S3,3,13,1,-0.297982737498649,0.189781294816858,20.9516486860097
C1,S3,3,14,1,-0.157696958107907,0.160295626124396,17.3298109015793
C1,S3,3,15,1,-0.202507494855914,0.117191693584052,21.2959925456552
C1,S3,3,16,1,0.162113844763147,0.549654240514391,17.7896653513098
C1,S3,3,17,1,-0.314078864404703,0.0599135509117827,19.1556226082241
C1,S3,3,18,1,0.119212808714062,0.516365305436161,16.1886168047621
C1,S3,3,19,1,-0.209640636457399,0.296299179025877,25.7597627909756
C1,S3,3,20,1,0.102732900131488,0.495404091256649,12.636147190606
C1,S4,4,1,1,-0.0431258129912535,0.23665891239679,13.6353898787406
C1,S4,4,2,1,-0.0859535128651714,0.411266687781835,17.0854631141118
C1,S4,4,3,1,0.140554601079976,0.482081784612263,15.2441921319027
C1,S4,4,4,1,-0.256114355909506,0.294464166975718,13.5865796865462
C1,S4,4,5,1,0.0984557918921029,0.28576455744946,13.5864528381412
C1,S4,4,6,1,0.00405793982441721,0.294214762444057,16.2817600440684
C1,S4,4,7,1,0.254980681069015,0.435987511130271,10.8544226196454
C1,S4,4,8,1,0.204800807371423,0.230769121293266,13.6197781694903
C1,S4,4,9,1,0.206916460328061,0.516553025769415,19.587062447222
C1,S4,4,10,1,0.149743262777408,0.287078091422173,18.4834232142408
C1,S4,4,11,1,0.105613211972543,0.243213656090086,14.6089877240415
C1,S4,4,12,1,-0.0765920595714679,0.265192319929727,19.1298260692936
C1,S4,4,13,1,-0.124658204667646,0.321177742584116,20.9516486860097
C1,S4,4,14,1,0.0196344592236877,0.184455885508547,17.3298109015793
C1,S4,4,15,1,-0.0585990593380196,0.115406125310976,21.2959925456552
C1,S4,4,16,1,0.211067098626388,0.456586191458669,17.7896653513098
C1,S4,4,17,1,-0.0924639665639854,0.0459682543521489,19.1556226082241
C1,S4,4,18,1,0.169118627657227,0.357405857955713,16.1886168047621
C1,S4,4,19,1,-0.123823761970394,0.396955967802212,25.7597627909756
C1,S4,4,20,1,0.010686286915414,0.370178883161877,12.636147190606
C1,S5,5,1,1,-0.158525731879912,0.294634425111814,13.6353898787406
C1,S5,5,2,1,-0.0885042742464749,0.723478483601893,17.0854631141118
C1,S5,5,3,1,0.307932473437938,0.874545397075775,15.2441921319027
C1,S5,5,4,1,-0.44062186113981,0.622873936855222,13.5865796865462
C1,S5,5,5,1,0.0510465058534337,0.528714341235171,13.5864528381412
C1,S5,5,6,1,0.673611502469001,1.49505798577547,16.2817600440684
C1,S5,5,7,1,0.391637377167351,0.170536681965307,10.8544226196454
C1,S5,5,8,1,0.361123041259071,0.371347436237582,13.6197781694903
C1,S5,5,9,1,0.300938488109706,0.402245617888967,19.587062447222
C1,S5,5,10,1,0.154805148668096,0.129280650675981,18.4834232142408
C1,S5,5,11,1,0.0886690248738729,0.358807330830816,14.6089877240415
C1,S5,5,12,1,-0.00410511988771467,0.345270016745607,19.1298260692936
C1,S5,5,13,1,-0.248388364207546,0.327543322089283,20.9516486860097
C1,S5,5,14,1,0.0225453398057238,0.250570820075157,17.3298109015793
C1,S5,5,15,1,0.0235744066901681,0.167644524851704,21.2959925456552
C1,S5,5,16,1,0.104529424931368,0.253323240433289,17.7896653513098
C1,S5,5,17,1,0.0639029658020899,0.269804573244067,19.1556226082241
C1,S5,5,18,1,0.215446195903703,0.25758870671711,16.1886168047621
