feature_id,cycle_id,provided_stage_count,rho_vs_base_median,rho_vs_base_minimum,rho_vs_ordinal_median,rho_vs_ordinal_minimum,configurations,partial_cycle
MAG_F1_DW_Q90,C1,7,1,1,1,1,27,0
MAG_F1_DW_Q90,C2,7,1,1,0.964285714285714,0.964285714285714,27,0
MAG_F1_DW_Q90,C3,3,1,1,1,1,27,1
ETP_E1_CDIFF,C1,7,0.942857142857143,0.771428571428571,0.657142857142857,0.314285714285714,27,0
ETP_E1_CDIFF,C2,7,1,0.942857142857143,-0.371428571428571,-0.371428571428571,27,0
ETP_E1_CDIFF,C3,3,1,1,-1,-1,27,1
