cycle_id,stage_id,stage_ordinal,mag_qc_status,etp_qc_status,MAG_F1_DW_Q90,MAG_F1_delta_S0,MEM_F4_ZSD,ETP_E1_CDIFF,ETP_EDirect,ETP_E5_WELD,ETP_E6_OUT,relative_index_frozen_prior_scale,etp_role,fusion_value,decision
C1,S0,0,PASS,PASS,0.102145171595957,0,0,0,0,0,0,0,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C1,S1,1,PASS,PASS,0.248739205118539,0.146594033522581,0.00993709782740286,-0.0149035540919794,0.179952302641566,0.141222572493262,0.315022211329434,0.0931669970400138,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C1,S2,2,PASS,PASS,0.480729802512445,0.378584630916488,0.023852017785632,0.0199605149087667,0.214194698584579,0.447975297053421,0.38481492921842,0.240607290354406,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C1,S3,3,PASS,PASS,0.811895382541644,0.709750210945686,0.0402767973249635,-0.0455832204315857,0.304719107692005,0.461039821225468,0.572026579730745,0.451077674946028,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C1,S4,4,PASS,WARN,1.12867912075802,1.02653394916206,0.0548879071407332,0.0151603730695509,0.294339464709887,0.477777638243431,0.572159858495315,0.65240776247775,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C1,S5,5,PASS,PASS,1.31837769899905,1.2162325274031,0.0652790128630784,0.0574747358277618,0.336406669417445,0.360392934293423,0.762494895974503,0.77296960563595,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C1,S6,6,PASS,PASS,1.47710306060435,1.3749578890084,0.0837095276998451,0.0346655828890989,0.313944864616304,0.419219453130535,0.831048429169418,0.873846598645206,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C2,S0,0,PASS,WARN,0.0832750182152013,0,0,0,0,0,0,0,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C2,S1,1,PASS,PASS,0.294773071384574,0.211498053169372,0.0101243916924257,0.620932195356717,0.139660854763426,1.3570618447444,0.32009883717888,0.134416374391965,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C2,S2,2,REJECT,PASS,0.218764736530775,0.135489718315574,0.0483335901623309,0.234059006658065,0.287537214463572,0.516419786808099,0.421408993336592,0.0861097132122703,QC_ONLY,NaN,NO_MAGNETIC_DECISION
C2,S3,3,PASS,WARN,0.856306823867754,0.773031805652552,0.0420164916645366,0.0790362479940624,0.307204421784022,0.397788940601028,0.761186005178159,0.491295929434767,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C2,S4,4,PASS,WARN,1.17209335392242,1.08881833570722,0.0661927318955425,0.54367582559509,0.294329544219171,1.13303364868523,0.450716947862244,0.691992247039998,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C2,S5,5,PASS,PASS,1.39350647016978,1.31023145195458,0.0754838600208725,0.363537687435418,0.347614713576803,1.06769340251927,0.721054253620599,0.832710082891483,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C2,S6,6,PASS,WARN,1.50439388877689,1.42111887056169,0.0851815167879763,0.208944791912549,0.498514912755182,0.489763884922818,0.783790537028031,0.903183945659931,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C3,S0,0,PASS,WARN,0.0356161976540084,0,0,0,0,0,0,0,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C3,S1,1,PASS,WARN,0.60016454937831,0.564548351724301,0.0214521228607255,0.0716431633721295,0.301112430899365,0.315026970082423,0.608338998756553,0.35879546629666,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
C3,S2,2,PASS,WARN,1.47248610823851,1.4368699105845,0.0736986574400933,-0.0293585010716339,0.360408498582554,0.371292306089209,0.920429646392502,0.913194428787515,QC_ONLY,NaN,MAGNETIC_RELATIVE_ONLY_ETP_QC
