cycle_id,stage_id,stage_ordinal,mag_qc_status,etp_qc_status,mag_feature_eligible,mag_repeatability_eligible,MAG_F1_DW_Q90,MAG_F1_delta_S0,MAG_F1_equal_legacy,MEM_F4_ZSD,MAG_F5_H1,ETP_E1_CDIFF,ETP_E2_MOMENT,ETP_E3_HEADSUP,ETP_E4_CHROUGH,ETP_E5_WELD,ETP_E6_OUT,ETP_ESTATIC,ETP_EAmplitude,ETP_EPhase,ETP_EDirect,ETP_good_channels,ETP_temperature0_C,ETP_temperature1_C,MEM_temperature_C,remanence_temperature_C
C1,S0,0,PASS,PASS,1,1,0.102145171595957,0,0.102247630238564,0,0.00423991796872756,0,0,0,0,0,0,0.186901740600148,0,0,0,20,45,47,39.7533187866211,39.2848014831543
C1,S1,1,PASS,PASS,1,1,0.248739205118539,0.146594033522581,0.249065080523489,0.00993709782740286,0.00159500037442782,-0.0149035540919794,-0.0502358237118414,-0.0102904686892167,-1.53713457919854,0.141222572493262,0.315022211329434,0.188193386547199,-0.0292866618674798,-0.00109642832184987,0.179952302641566,20,49,51,42.998176574707,42.4884872436523
C1,S2,2,PASS,PASS,1,1,0.480729802512445,0.378584630916488,0.480994057893751,0.023852017785632,0.002872691308651,0.0199605149087667,0.0143898429430248,0.0357597810639381,-2.468201716558,0.447975297053421,0.38481492921842,0.23961960634317,-0.0105710302809656,0.0693963380921293,0.214194698584579,20,52,53,44.4332427978516,43.7518119812012
C1,S3,3,PASS,PASS,1,1,0.811895382541644,0.709750210945686,0.81232243680954,0.0402767973249635,0.00671286071172052,-0.0455832204315857,-0.0804172092699932,-0.0684839792594409,-1.48318269874767,0.461039821225468,0.572026579730745,0.140284884930842,-0.00993692588681118,-0.0322318348382879,0.304719107692005,20,54,56,45.8447418212891,45.2198143005371
C1,S4,4,PASS,WARN,1,1,1.12867912075802,1.02653394916206,1.12978708380459,0.0548879071407332,0.0107096971768543,0.0151603730695509,0.0562179555173235,0.105579352999206,-0.685515810754707,0.477777638243431,0.572159858495315,0.0930738146769112,0.063096905707453,0.124624878226001,0.294339464709887,20,55,57,46.7169342041016,45.9782600402832
C1,S5,5,PASS,PASS,1,1,1.31837769899905,1.2162325274031,1.3186122128963,0.0652790128630784,0.0025892243535711,0.0574747358277618,0.108563670731288,0.156417643953284,0.901241239293936,0.360392934293423,0.762494895974503,0.187343120364733,0.0489622946201808,0.16309080176925,0.336406669417445,20,56,58,47.1852111816406,46.2800674438477
C1,S6,6,PASS,PASS,1,1,1.47710306060435,1.3749578890084,1.47840016305444,0.0837095276998451,0.0273562083646455,0.0346655828890989,0.121477332798179,-0.198046241409163,1.08659891461482,0.419219453130535,0.831048429169418,0.151452863667242,0.0435671140311303,0.181139627435814,0.313944864616304,20,57,59,47.8547439575195,46.9169273376465
C2,S0,0,PASS,WARN,1,1,0.0832750182152013,0,0.0832750182152013,0,-0.000819888879106858,0,0,0,0,0,0,0.146715569817134,0,0,0,20,53,55,45.9499816894531,45.3884811401367
C2,S1,1,PASS,PASS,1,1,0.294773071384574,0.211498053169372,0.295943733632511,0.0101243916924257,0.0079668929192514,0.620932195356717,0.662838362556263,0.217657211209609,1.94091455047047,1.3570618447444,0.32009883717888,0.178991638928245,0.588686950871988,0.589549650147327,0.139660854763426,20,54,56,48.1667594909668,47.6434020996094
C2,S2,2,REJECT,PASS,0,0,0.218764736530775,0.135489718315574,0.202470103144667,0.0483335901623309,0.00102621463660242,0.234059006658065,0.261546681844637,0.0429261375610381,1.01874997768776,0.516419786808099,0.421408993336592,0.180311517997255,0.120769771295759,0.195493640290246,0.287537214463572,20,54,56,48.1448364257812,47.4519119262695
